,TP均值,FN均值,TP-FN差异(绝对值),TN均值,FP均值,TN-FP差异(绝对值)
crdt_lim_yx,28875.24,21124.666666666668,7750.573333333334,27671.52488687783,28791.53846153846,1120.013574660632
pril_bal,9317.68,16124.333333333334,6806.653333333334,14497.0,10981.653846153846,3515.3461538461543
avg_loan_amt,4997.269650793652,5515.801587301587,518.5319365079349,4525.81568088774,2965.7517551892547,1560.0639256984855
total_loan_amt,24711.0,24423.333333333332,287.6666666666679,22389.262443438914,13647.653846153846,8741.608597285069
age,43.8,36.0,7.799999999999997,40.92760180995475,37.23076923076923,3.696832579185518
occ_lim_interaction,8.02,11.666666666666666,3.6466666666666665,9.624434389140271,10.846153846153847,1.2217194570135756
occ_cd,1.12,2.0,0.8799999999999999,1.4751131221719458,1.6923076923076923,0.2171945701357465
total_touch_cnt,6.12,7.0,0.8799999999999999,6.950226244343892,7.615384615384615,0.6651583710407234
apply_cnt,2.22,3.0,0.7799999999999998,1.5384615384615385,2.8076923076923075,1.269230769230769
total_loan_cnt,4.7,4.0,0.7000000000000002,4.733031674208145,3.6153846153846154,1.1176470588235294
push_cnt,2.08,2.6666666666666665,0.5866666666666664,2.013574660633484,2.3461538461538463,0.33257918552036214
recv_to_touch_days,0.46,1.0,0.54,0.6380090497737556,0.5,0.1380090497737556
wdraw_cnt,1.84,2.3333333333333335,0.4933333333333334,0.4751131221719457,1.6153846153846154,1.1402714932126696
lim_level,2.14,1.6666666666666667,0.4733333333333334,2.0407239819004523,2.1538461538461537,0.1131221719457014
loan_to_limit_ratio,0.9913733533686698,1.4505998425300863,0.4592264891614165,1.15167669752838,0.46784931987006073,0.6838273776583194
lim_use_ratio,0.33047996723910145,0.7578749379991224,0.427394970760021,0.5259860135019903,0.396809388162271,0.12917662533971924
is_coupon_issue,0.26,0.6666666666666666,0.4066666666666666,0.27149321266968324,0.34615384615384615,0.07466063348416291
gender_cd,0.38,0.0,0.38,0.45248868778280543,0.38461538461538464,0.0678733031674208
sms_charge_cnt,4.04,4.333333333333333,0.293333333333333,4.9366515837104075,5.269230769230769,0.3325791855203617
residence_pr_cd,2.22,2.0,0.2200000000000002,2.1493212669683257,1.7692307692307692,0.38009049773755654
wdraw_success_rate,0.8716666666666667,0.7777777777777777,0.09388888888888902,0.19306184012066363,0.6314102564102563,0.43834841628959265
wdraw_success_ratio,0.8716666666666667,0.7777777777777777,0.09388888888888902,0.19306184012066363,0.6314102564102563,0.43834841628959265
unwdraw_ratio,0.12833333333333333,0.2222222222222222,0.09388888888888888,0.49019607843137253,0.36858974358974356,0.12160633484162897
has_loan,0.94,1.0,0.06000000000000005,0.9366515837104072,0.7692307692307693,0.16742081447963797
sms_touch_ratio,0.5879069264069264,0.5509259259259259,0.0369810004810005,0.6801362287787627,0.6376984126984128,0.04243781608034991
touch_response_ratio,0.4344653679653679,0.40277777777777773,0.03168759018759015,0.10576540101426977,0.2500763125763125,0.14431091156204273
is_zero_limit,0.0,0.0,0.0,0.0,0.0,0.0
apply_cnt_is_null,0.0,0.0,0.0,0.0,0.0,0.0
sms_charge_cnt_is_null,0.0,0.0,0.0,0.0,0.0,0.0
push_cnt_is_null,0.0,0.0,0.0,0.0,0.0,0.0
wdraw_cnt_is_null,0.0,0.0,0.0,0.0,0.0,0.0
total_loan_amt_is_null,0.0,0.0,0.0,0.0,0.0,0.0
total_loan_cnt_is_null,0.0,0.0,0.0,0.0,0.0,0.0
crdt_lim_yx_is_null,0.0,0.0,0.0,0.0,0.0,0.0
reject_freq,0.0,0.0,0.0,0.3755656108597285,0.0,0.3755656108597285
if_bj_30_yn,0.0,0.0,0.0,0.23076923076923078,0.0,0.23076923076923078
if_bj_10_yn,0.0,0.0,0.0,0.14479638009049775,0.0,0.14479638009049775
pril_bal_is_null,0.0,0.0,0.0,0.0,0.0,0.0
